2023-02-08 11:14:14.127 [DEBU] {e8fffed3eaba411783f4ae7376fe4545} [ 24 ms] [default] [goFrameMall] [rows:9  ] SHOW FULL COLUMNS FROM `position_info`
2023-02-08 11:14:14.136 [DEBU] {e8fffed3eaba411783f4ae7376fe4545} [  8 ms] [default] [goFrameMall] [rows:1  ] INSERT INTO `position_info`(`created_at`,`sort`,`updated_at`,`pic_url`,`goods_name`,`goods_id`,`link`) VALUES('2023-02-08 11:14:14',1,'2023-02-08 11:14:14','https://typora-photos.oss-cn-shenzhen.aliyuncs.com/夏日花火.jpg','goodsNameTest',1,'https://flowus.cn/0a079994-85a9-4b84-8d59-a18b77ebd5cb') 
2023-02-08 11:16:09.391 [DEBU] {302f9fab05bb411784f4ae73af4373b1} [  4 ms] [default] [goFrameMall] [rows:0  ] [txid:1] BEGIN
2023-02-08 11:16:09.394 [DEBU] {302f9fab05bb411784f4ae73af4373b1} [  3 ms] [default] [goFrameMall] [rows:1  ] [txid:1] UPDATE `position_info` SET `deleted_at`='2023-02-08 11:16:09' WHERE (`id`=3) AND `deleted_at` IS NULL
2023-02-08 11:16:09.396 [DEBU] {302f9fab05bb411784f4ae73af4373b1} [  2 ms] [default] [goFrameMall] [rows:0  ] [txid:1] COMMIT
2023-02-08 11:17:42.439 [DEBU] {3073cd551bbb411785f4ae73aaecb38a} [  2 ms] [default] [goFrameMall] [rows:0  ] SELECT `id`,`pic_url`,`goods_name`,`link`,`sort`,`goods_id`,`created_at`,`updated_at`,`deleted_at` FROM `position_info` WHERE `deleted_at` IS NULL ORDER BY `id` DESC LIMIT 0,10
2023-02-08 11:18:00.956 [DEBU] {006d7da51fbb411786f4ae7399144654} [  3 ms] [default] [goFrameMall] [rows:1  ] INSERT INTO `position_info`(`goods_name`,`goods_id`,`updated_at`,`created_at`,`link`,`sort`,`pic_url`) VALUES('goodsNameTest',1,'2023-02-08 11:18:00','2023-02-08 11:18:00','https://flowus.cn/0a079994-85a9-4b84-8d59-a18b77ebd5cb',1,'https://typora-photos.oss-cn-shenzhen.aliyuncs.com/夏日花火.jpg') 
2023-02-08 11:18:04.513 [DEBU] {68779a7920bb411787f4ae735674e466} [  1 ms] [default] [goFrameMall] [rows:1  ] SELECT `id`,`pic_url`,`goods_name`,`link`,`sort`,`goods_id`,`created_at`,`updated_at`,`deleted_at` FROM `position_info` WHERE `deleted_at` IS NULL ORDER BY `id` DESC LIMIT 0,10
2023-02-08 11:18:04.515 [DEBU] {68779a7920bb411787f4ae735674e466} [  2 ms] [default] [goFrameMall] [rows:1  ] SELECT COUNT(1) FROM `position_info` WHERE `deleted_at` IS NULL
2023-02-08 11:18:04.516 [DEBU] {68779a7920bb411787f4ae735674e466} [  0 ms] [default] [goFrameMall] [rows:1  ] SELECT `id`,`sort`,`pic_url`,`goods_name`,`goods_id`,`link`,`created_at`,`updated_at` FROM `position_info` WHERE `deleted_at` IS NULL ORDER BY `id` DESC LIMIT 0,10
2023-02-08 11:23:22.482 [DEBU] {0040d3816abb41178af4ae73929c38f3} [  5 ms] [default] [goFrameMall] [rows:0  ] [txid:2] BEGIN
2023-02-08 11:23:22.485 [DEBU] {0040d3816abb41178af4ae73929c38f3} [  2 ms] [default] [goFrameMall] [rows:1  ] [txid:2] UPDATE `position_info` SET `pic_url`='updateTest',`updated_at`='2023-02-08 11:23:22',`goods_id`=-1,`goods_name`='updateTest',`link`='updateTest',`sort`=-1 WHERE (`id`=4) AND `deleted_at` IS NULL
2023-02-08 11:23:22.487 [DEBU] {0040d3816abb41178af4ae73929c38f3} [  2 ms] [default] [goFrameMall] [rows:0  ] [txid:2] COMMIT
